Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
keren sekali,keren sekali,keren sekali,"['keren', 'sekali']",['keren'],keren,0,neutral
fitur dana cicil tidak bisa di akses padahal syarat sudah memenuhi semua,fitur dana cicil tidak bisa akses padahal syarat sudah memenuhi semua,fitur dana cicil tidak bisa akses padahal syarat sudah memenuhi semua,"['fitur', 'dana', 'cicil', 'tidak', 'bisa', 'akses', 'padahal', 'syarat', 'sudah', 'memenuhi', 'semua']","['fitur', 'dana', 'cicil', 'akses', 'syarat', 'memenuhi']",fitur dana cicil akses syarat penuh,6,positive
"saya sempet kesel waktu itu, jadi saya beli paketan di dana 5gb 3 hari dan baru kepake buat nyalain api duolingo eh tbtb ga bisa di pake samsek paketan nya mana saldo tetep berkurang... bikin kesel aja. masa iya baru di pake buat ngerjain duolingo aja udah habis kan ga mungkin",saya sempet kesel waktu jadi saya beli paketan dana hari baru kepake buat nyalain duolingo tbtb bisa pake samsek paketan mana saldo tetep berkurang bikin kesel masa baru pake buat ngerjain duolingo udah habis mungkin,saya sempat kesel waktu jadi saya beli paketan dana hari baru kepake buat nyalain duolingo tbtb bisa pakai samsek paketan mana saldo tetap berkurang bikin kesel masa baru pakai buat ngerjain duolingo sudah habis mungkin,"['saya', 'sempat', 'kesel', 'waktu', 'jadi', 'saya', 'beli', 'paketan', 'dana', 'hari', 'baru', 'kepake', 'buat', 'nyalain', 'duolingo', 'tbtb', 'bisa', 'pakai', 'samsek', 'paketan', 'mana', 'saldo', 'tetap', 'berkurang', 'bikin', 'kesel', 'masa', 'baru', 'pakai', 'buat', 'ngerjain', 'duolingo', 'sudah', 'habis', 'mungkin']","['kesel', 'beli', 'paketan', 'dana', 'kepake', 'nyalain', 'duolingo', 'tbtb', 'pakai', 'samsek', 'paketan', 'saldo', 'berkurang', 'bikin', 'kesel', 'pakai', 'ngerjain', 'duolingo', 'habis']",kesel beli paket dana kepake nyalain duolingo tbtb pakai samsek paket saldo kurang bikin kesel pakai ngerjain duolingo habis,4,positive
"Belum menerima hasil,..",belum menerima hasil,belum menerima hasil,"['belum', 'menerima', 'hasil']","['menerima', 'hasil']",terima hasil,5,positive
membantu sekali.tks,membantu sekalitks,membantu sekalitks,"['membantu', 'sekalitks']","['membantu', 'sekalitks']",bantu sekalitks,3,positive
"Beli paket kuota di Myim3 bayarnya pakai qris Dana,uang hilang 100 ribu kuota tdk masuk di hp. pengaduan Kedana macam bola pimpong dari subuh pengaduan sampe malam kerjax cm suruh kirim bukti transaksi bolak balik sampe capek kirim bukti transaksi tdk ada solusi. ujung²x pihak DANA suruh saya menghubungi sendiri pihak merchentx. pelayananx parah mikir lah berkali² kalau mau pake aplikasi ini yg minim solusi. ini bukan kejadian pertama tp sdh bbrpa kali 👎👎",beli paket kuota myim bayarnya pakai qris danauang hilang ribu kuota masuk pengaduan kedana macam bola pimpong dari subuh pengaduan sampe malam kerjax suruh kirim bukti transaksi bolak balik sampe capek kirim bukti transaksi solusi ujungx pihak dana suruh saya menghubungi sendiri pihak merchentx pelayananx parah mikir berkali kalau pake aplikasi minim solusi bukan kejadian pertama bbrpa kali,beli paket kuota myim bayarnya pakai qris danauang hilang ribu kuota masuk pengaduan kedana macam bola pimpong dari subuh pengaduan sampai malam kerjax suruh kirim bukti transaksi bolak balik sampai capek kirim bukti transaksi solusi ujungx pihak dana suruh saya menghubungi sendiri pihak merchentx pelayananx parah mikir berkali kalau pakai aplikasi minim solusi bukan kejadian pertama beberapa kali,"['beli', 'paket', 'kuota', 'myim', 'bayarnya', 'pakai', 'qris', 'danauang', 'hilang', 'ribu', 'kuota', 'masuk', 'pengaduan', 'kedana', 'macam', 'bola', 'pimpong', 'dari', 'subuh', 'pengaduan', 'sampai', 'malam', 'kerjax', 'suruh', 'kirim', 'bukti', 'transaksi', 'bolak', 'balik', 'sampai', 'capek', 'kirim', 'bukti', 'transaksi', 'solusi', 'ujungx', 'pihak', 'dana', 'suruh', 'saya', 'menghubungi', 'sendiri', 'pihak', 'merchentx', 'pelayananx', 'parah', 'mikir', 'berkali', 'kalau', 'pakai', 'aplikasi', 'minim', 'solusi', 'bukan', 'kejadian', 'pertama', 'beberapa', 'kali']","['beli', 'paket', 'kuota', 'myim', 'bayarnya', 'pakai', 'qris', 'danauang', 'hilang', 'ribu', 'kuota', 'masuk', 'pengaduan', 'kedana', 'bola', 'pimpong', 'subuh', 'pengaduan', 'malam', 'kerjax', 'suruh', 'kirim', 'bukti', 'transaksi', 'bolak', 'capek', 'kirim', 'bukti', 'transaksi', 'solusi', 'ujungx', 'dana', 'suruh', 'menghubungi', 'merchentx', 'pelayananx', 'parah', 'mikir', 'berkali', 'pakai', 'aplikasi', 'minim', 'solusi', 'kejadian', 'kali']",beli paket kuota myim bayar pakai qris danauang hilang ribu kuota masuk adu dana bola pimpong subuh adu malam kerjax suruh kirim bukti transaksi bolak capek kirim bukti transaksi solusi ujungx dana suruh hubung merchentx pelayananx parah mikir kali pakai aplikasi minim solusi jadi kali,8,positive
semoga dana tetap menjaga ke amanan pengguna nya. terimakasih.,semoga dana tetap menjaga amanan pengguna terimakasih,semoga dana tetap menjaga amanan pengguna terimakasih,"['semoga', 'dana', 'tetap', 'menjaga', 'amanan', 'pengguna', 'terimakasih']","['semoga', 'dana', 'menjaga', 'amanan', 'pengguna', 'terimakasih']",moga dana jaga aman guna terimakasih,13,positive
"sangat bagus kakak, sangat membantu sekali",sangat bagus kakak sangat membantu sekali,sangat bagus kakak sangat membantu sekali,"['sangat', 'bagus', 'kakak', 'sangat', 'membantu', 'sekali']","['bagus', 'kakak', 'membantu']",bagus kakak bantu,5,positive
terimakasih aplikasi ini sangat membatu kita semuanya,terimakasih aplikasi sangat membatu kita semuanya,terimakasih aplikasi sangat membatu kita semuanya,"['terimakasih', 'aplikasi', 'sangat', 'membatu', 'kita', 'semuanya']","['terimakasih', 'aplikasi', 'membatu']",terimakasih aplikasi batu,3,positive
bagus,bagus,bagus,['bagus'],['bagus'],bagus,2,positive
