Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
baguss bangetzzzzzzzzz,baguss bangetzzzzzzzzz,bagus bangetzzzzzzzzz,"['bagus', 'bangetzzzzzzzzz']","['bagus', 'bangetzzzzzzzzz']",bagus bangetzzzzzzzzz,2,positive
baik pelayan nan enya aman kalo transaksi ke mn aja,baik pelayan enya aman kalo transaksi,baik pelayan enya aman kalau transaksi,"['baik', 'pelayan', 'enya', 'aman', 'kalau', 'transaksi']","['pelayan', 'enya', 'aman', 'transaksi']",layan enya aman transaksi,6,positive
bagus,bagus,bagus,['bagus'],['bagus'],bagus,2,positive
scan barcode terlalu bermasalah gagal teknis Mulu payah,scan barcode terlalu bermasalah gagal teknis mulu payah,scan barcode terlalu bermasalah gagal teknis mulu payah,"['scan', 'barcode', 'terlalu', 'bermasalah', 'gagal', 'teknis', 'mulu', 'payah']","['scan', 'barcode', 'bermasalah', 'gagal', 'teknis', 'mulu', 'payah']",scan barcode masalah gagal teknis mulu payah,-6,negative
ini kok ga g ada konfir masi apa apa jol di potong hedeuh jadi kapok nyimpen uang banyak bahaya nanti ilang lag,konfir masi potong hedeuh jadi kapok nyimpen uang banyak bahaya nanti ilang,konfir masih potong hedeuh jadi kapok menyimpan uang banyak bahaya nanti hilang,"['konfir', 'masih', 'potong', 'hedeuh', 'jadi', 'kapok', 'menyimpan', 'uang', 'banyak', 'bahaya', 'nanti', 'hilang']","['konfir', 'potong', 'hedeuh', 'kapok', 'menyimpan', 'uang', 'bahaya', 'hilang']",konfir potong hedeuh kapok simpan uang bahaya hilang,-10,negative
sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus,2,positive
"susah amat verifikasinya, udah puluhan kali coba , gagal terus, padahal udha top up , mau TF langsung malah ga bisa",susah amat verifikasinya udah puluhan kali coba gagal terus padahal udha langsung malah bisa,susah amat verifikasinya sudah puluhan kali coba gagal terus padahal udha langsung malah bisa,"['susah', 'amat', 'verifikasinya', 'sudah', 'puluhan', 'kali', 'coba', 'gagal', 'terus', 'padahal', 'udha', 'langsung', 'malah', 'bisa']","['susah', 'verifikasinya', 'puluhan', 'kali', 'coba', 'gagal', 'udha', 'langsung']",susah verifikasi puluh kali coba gagal udha langsung,-2,negative
nice apk,nice,nice,['nice'],['nice'],nice,4,positive
i like,like,like,['like'],['like'],like,0,neutral
suka nih,suka,suka,['suka'],['suka'],suka,3,positive
lumayan,lumayan,lumayan,['lumayan'],['lumayan'],lumayan,1,positive
jos sangat berguna,sangat berguna,sangat berguna,"['sangat', 'berguna']",['berguna'],guna,1,positive
Istimewa,istimewa,istimewa,['istimewa'],['istimewa'],istimewa,0,neutral
Terimakasih aplikasinya sangat membantu. semoga berkembang makin baik dan sukses.,terimakasih aplikasinya sangat membantu semoga berkembang makin baik sukses,terimakasih aplikasinya sangat membantu semoga berkembang makin baik sukses,"['terimakasih', 'aplikasinya', 'sangat', 'membantu', 'semoga', 'berkembang', 'makin', 'baik', 'sukses']","['terimakasih', 'aplikasinya', 'membantu', 'semoga', 'berkembang', 'sukses']",terimakasih aplikasi bantu moga kembang sukses,11,positive
bagus dah kayak ini,bagus kayak,bagus kayak,"['bagus', 'kayak']","['bagus', 'kayak']",bagus kayak,-1,negative
Tolong di bantu dong gimna cara kita pulihkan akun gopay nomor nya sudah hilang,tolong bantu dong gimna cara kita pulihkan akun gopay nomor sudah hilang,tolong bantu dong bagaimana cara kita pulihkan akun gopay nomor sudah hilang,"['tolong', 'bantu', 'dong', 'bagaimana', 'cara', 'kita', 'pulihkan', 'akun', 'gopay', 'nomor', 'sudah', 'hilang']","['tolong', 'bantu', 'pulihkan', 'akun', 'gopay', 'nomor', 'hilang']",tolong bantu pulih akun gopay nomor hilang,9,positive
"gopay pet inii gabisa diclaim coin nya uda setengah bulan gimana ini masih ngebug kah yaelah makin kesini makin parah apk gopay, kemaren bisa lagi sekarang gabisa lagi apaan sih tiap ditanya kenapa malah jawab goapyy sakit lah ini itu lah apaa lah apk 1 inii hadeuh",gopay inii gabisa diclaim coin setengah bulan gimana masih ngebug yaelah makin kesini makin parah gopay kemaren bisa lagi sekarang gabisa lagi apaan tiap ditanya kenapa malah jawab goapyy sakit apaa inii hadeuh,gopay ini tidak bisa diclaim coin setengah bulan bagaimana masih ngebug yaelah makin kesini makin parah gopay kemarin bisa lagi sekarang tidak bisa lagi apaan tiap ditanya kenapa malah jawab goapyy sakit apa ini aduh,"['gopay', 'ini', 'tidak', 'bisa', 'diclaim', 'coin', 'setengah', 'bulan', 'bagaimana', 'masih', 'ngebug', 'yaelah', 'makin', 'kesini', 'makin', 'parah', 'gopay', 'kemarin', 'bisa', 'lagi', 'sekarang', 'tidak', 'bisa', 'lagi', 'apaan', 'tiap', 'ditanya', 'kenapa', 'malah', 'jawab', 'goapyy', 'sakit', 'apa', 'ini', 'aduh']","['gopay', 'diclaim', 'coin', 'ngebug', 'yaelah', 'kesini', 'parah', 'gopay', 'kemarin', 'goapyy', 'sakit', 'aduh']",gopay diclaim coin ngebug yaelah kesini parah gopay kemarin goapyy sakit aduh,-9,negative
sedang proses pemakaian semoga baik kedepannya dan tidak mengecewakan,sedang proses pemakaian semoga baik kedepannya tidak mengecewakan,sedang proses pemakaian semoga baik kedepannya tidak mengecewakan,"['sedang', 'proses', 'pemakaian', 'semoga', 'baik', 'kedepannya', 'tidak', 'mengecewakan']","['proses', 'pemakaian', 'semoga', 'kedepannya', 'mengecewakan']",proses pakai moga depan kecewa,2,positive
ok. sangat terima kasih,sangat terima kasih,sangat terima kasih,"['sangat', 'terima', 'kasih']","['terima', 'kasih']",terima kasih,4,positive
goods jop,goods,goods,['goods'],['goods'],goods,0,neutral
bermanfaat,bermanfaat,bermanfaat,['bermanfaat'],['bermanfaat'],manfaat,5,positive
apk ini sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu,3,positive
bagus banget apk ini bisa di buat jualan juga jos pokoknya,bagus banget bisa buat jualan juga pokoknya,bagus banget bisa buat jualan juga pokoknya,"['bagus', 'banget', 'bisa', 'buat', 'jualan', 'juga', 'pokoknya']","['bagus', 'banget', 'jualan', 'pokoknya']",bagus banget jual pokok,7,positive
mudah dan cepat,mudah cepat,mudah cepat,"['mudah', 'cepat']","['mudah', 'cepat']",mudah cepat,7,positive
"prosesnya cepat,,puas sekali dengan aplikasinya",prosesnya cepatpuas sekali dengan aplikasinya,prosesnya cepatpuas sekali dengan aplikasinya,"['prosesnya', 'cepatpuas', 'sekali', 'dengan', 'aplikasinya']","['prosesnya', 'cepatpuas', 'aplikasinya']",proses cepatpuas aplikasi,-3,negative
sangat mudah digunakan dan jg sangat membantu kelancaran transaksi...,sangat mudah digunakan sangat membantu kelancaran transaksi,sangat mudah digunakan sangat membantu kelancaran transaksi,"['sangat', 'mudah', 'digunakan', 'sangat', 'membantu', 'kelancaran', 'transaksi']","['mudah', 'membantu', 'kelancaran', 'transaksi']",mudah bantu lancar transaksi,15,positive
mudah2an bisa di permudah dari gopay nya🙏,mudahan bisa permudah dari gopay,mudahan bisa permudah dari gopay,"['mudahan', 'bisa', 'permudah', 'dari', 'gopay']","['mudahan', 'permudah', 'gopay']",mudah mudah gopay,8,positive
mantap,mantap,mantap,['mantap'],['mantap'],mantap,5,positive
aman dan terpercaya,aman terpercaya,aman terpercaya,"['aman', 'terpercaya']","['aman', 'terpercaya']",aman percaya,2,positive
"murah, cepet, simple, top banget ini tp eh gopay isiin itu apasih namnya roblox yang robux isiin yang 80 sampe yang ribuan robux, jangna pake card, adain dong robux yang beli 80-400 prem, habis itu yant lain",murah cepet simple banget gopay isiin apasih namnya roblox yang robux isiin yang sampe yang ribuan robux jangna pake card adain dong robux yang beli  prem habis yant lain,murah cepat simple banget gopay isiin apasih namanya roblox yang robux isiin yang sampai yang ribuan robux jangna pakai card mengadakan dong robux yang beli prem habis yant lain,"['murah', 'cepat', 'simple', 'banget', 'gopay', 'isiin', 'apasih', 'namanya', 'roblox', 'yang', 'robux', 'isiin', 'yang', 'sampai', 'yang', 'ribuan', 'robux', 'jangna', 'pakai', 'card', 'mengadakan', 'dong', 'robux', 'yang', 'beli', 'prem', 'habis', 'yant', 'lain']","['murah', 'cepat', 'simple', 'banget', 'gopay', 'isiin', 'apasih', 'namanya', 'roblox', 'robux', 'isiin', 'ribuan', 'robux', 'jangna', 'pakai', 'card', 'mengadakan', 'robux', 'beli', 'prem', 'habis', 'yant']",murah cepat simple banget gopay isiin apasih nama roblox robux isiin ribu robux jangna pakai card ada robux beli prem habis yant,15,positive
nice,nice,nice,['nice'],['nice'],nice,4,positive
mantap new,mantap,mantap,['mantap'],['mantap'],mantap,5,positive
