Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,score,label
"Di coba dulu. Kalau memuaskan, bisa diberikan 5 bintang.",coba dulu kalau memuaskan bisa diberikan bintang,coba dulu kalau memuaskan bisa diberikan bintang,"['coba', 'dulu', 'kalau', 'memuaskan', 'bisa', 'diberikan', 'bintang']","['coba', 'memuaskan', 'bintang']",coba muas bintang,7,positive
mantap murah,mantap murah,mantap murah,"['mantap', 'murah']","['mantap', 'murah']",mantap murah,8,positive
mantabb,mantabb,mantab,['mantab'],['mantab'],mantab,0,neutral
bisa bayar pulsa dan juga belanja,bisa bayar pulsa juga belanja,bisa bayar pulsa juga belanja,"['bisa', 'bayar', 'pulsa', 'juga', 'belanja']","['bayar', 'pulsa', 'belanja']",bayar pulsa belanja,0,neutral
kenapa pas transaksi gagal mulu min,kenapa transaksi gagal mulu,kenapa transaksi gagal mulu,"['kenapa', 'transaksi', 'gagal', 'mulu']","['transaksi', 'gagal', 'mulu']",transaksi gagal mulu,2,positive
gabisa klaim dm epep👎,gabisa klaim epep,tidak bisa klaim epep,"['tidak', 'bisa', 'klaim', 'epep']","['klaim', 'epep']",klaim epep,0,neutral
aplikasi apa ini. saya transfer ke dana tpi tidak msuk2 saldo saya. sangat mengecewakan,aplikasi saya transfer dana tidak msuk saldo saya sangat mengecewakan,aplikasi saya transfer dana tidak masuk saldo saya sangat mengecewakan,"['aplikasi', 'saya', 'transfer', 'dana', 'tidak', 'masuk', 'saldo', 'saya', 'sangat', 'mengecewakan']","['aplikasi', 'transfer', 'dana', 'masuk', 'saldo', 'mengecewakan']",aplikasi transfer dana masuk saldo kecewa,-1,negative
lama banget kalo girim uang 1 hari apapaan orang butuh sekarang giliran minta kembali saldo gak bisa p,lama banget kalo girim uang hari apapaan orang butuh sekarang giliran minta kembali saldo bisa,lama banget kalau girim uang hari apapaan orang butuh sekarang giliran meminta kembali saldo bisa,"['lama', 'banget', 'kalau', 'girim', 'uang', 'hari', 'apapaan', 'orang', 'butuh', 'sekarang', 'giliran', 'meminta', 'kembali', 'saldo', 'bisa']","['banget', 'girim', 'uang', 'apapaan', 'orang', 'butuh', 'giliran', 'saldo']",banget girim uang apapaan orang butuh gilir saldo,-2,negative
aplikasinya bagus,aplikasinya bagus,aplikasinya bagus,"['aplikasinya', 'bagus']","['aplikasinya', 'bagus']",aplikasi bagus,-2,negative
👍Bagus,bagus,bagus,['bagus'],['bagus'],bagus,2,positive
buruk sekali,buruk sekali,buruk sekali,"['buruk', 'sekali']",['buruk'],buruk,-5,negative
aplikasi jelek,aplikasi jelek,aplikasi jelek,"['aplikasi', 'jelek']","['aplikasi', 'jelek']",aplikasi jelek,-9,negative
mantap,mantap,mantap,['mantap'],['mantap'],mantap,5,positive
bagus,bagus,bagus,['bagus'],['bagus'],bagus,2,positive
