Review text,teks_bersih
keren sekali,keren sekali
fitur dana cicil tidak bisa di akses padahal syarat sudah memenuhi semua,fitur dana cicil tidak bisa akses padahal syarat sudah memenuhi semua
sangat baik,sangat baik
"saya sempet kesel waktu itu, jadi saya beli paketan di dana 5gb 3 hari dan baru kepake buat nyalain api duolingo eh tbtb ga bisa di pake samsek paketan nya mana saldo tetep berkurang... bikin kesel aja. masa iya baru di pake buat ngerjain duolingo aja udah habis kan ga mungkin",saya sempet kesel waktu jadi saya beli paketan dana hari baru kepake buat nyalain duolingo tbtb bisa pake samsek paketan mana saldo tetep berkurang bikin kesel masa baru pake buat ngerjain duolingo udah habis mungkin
"Belum menerima hasil,..",Belum menerima hasil
membantu sekali.tks,membantu sekalitks
"Beli paket kuota di Myim3 bayarnya pakai qris Dana,uang hilang 100 ribu kuota tdk masuk di hp. pengaduan Kedana macam bola pimpong dari subuh pengaduan sampe malam kerjax cm suruh kirim bukti transaksi bolak balik sampe capek kirim bukti transaksi tdk ada solusi. ujung²x pihak DANA suruh saya menghubungi sendiri pihak merchentx. pelayananx parah mikir lah berkali² kalau mau pake aplikasi ini yg minim solusi. ini bukan kejadian pertama tp sdh bbrpa kali 👎👎",Beli paket kuota Myim3 bayarnya pakai qris Danauang hilang ribu kuota masuk pengaduan Kedana macam bola pimpong dari subuh pengaduan sampe malam kerjax suruh kirim bukti transaksi bolak balik sampe capek kirim bukti transaksi solusi ujung²x pihak DANA suruh saya menghubungi sendiri pihak merchentx pelayananx parah mikir berkali² kalau pake aplikasi minim solusi bukan kejadian pertama bbrpa kali
semoga dana tetap menjaga ke amanan pengguna nya. terimakasih.,semoga dana tetap menjaga amanan pengguna terimakasih
"sangat bagus kakak, sangat membantu sekali",sangat bagus kakak sangat membantu sekali
terimakasih aplikasi ini sangat membatu kita semuanya,terimakasih aplikasi sangat membatu kita semuanya
top,
bagus,bagus
🌹,
baik,baik
sangat bagus aplikasi ini buat transfer mantep poko nya,sangat bagus aplikasi buat transfer mantep poko
mantap,mantap
dana saya nyangkut saya transfer ke shopepay konfirmasi katanya masuk dari riwayatnya pun ada tapi di shopepay tidak masuk saya laporkan masalah ini malah lama banget balesnya mana jumlahnya banyak lagi jelek banget dana sekarang,dana saya nyangkut saya transfer shopepay konfirmasi katanya masuk dari riwayatnya tapi shopepay tidak masuk saya laporkan masalah malah lama banget balesnya mana jumlahnya banyak lagi jelek banget dana sekarang
aplikasi dana is the best sangat membantu dalam bertransaksi,aplikasi dana best sangat membantu dalam bertransaksi
bangus untuk transaksi sangat cepat,bangus untuk transaksi sangat cepat
"sengaja kasi 5 bintang, soalnya aku kapok dulu uang aku habis di bobol di dana",sengaja kasi bintang soalnya kapok dulu uang habis bobol dana
sangat membantu dlm keadaan terdesak,sangat membantu keadaan terdesak
sangat membantu,sangat membantu
hadeh sengaja bener kasih otp pdhl wa nomor dan kartu saya sudah tidak aktif tapi Masi dimintain otp herann juga,hadeh sengaja bener kasih pdhl nomor kartu saya sudah tidak aktif tapi Masi dimintain herann juga
kerenn,kerenn
sanggat bermanfaat,sanggat bermanfaat
sangat puas,sangat puas
"sengaja kasih bintang 5 biar di baca,tolong bngt min inimah pdhl sblmnya saya sdh premium tpi skrng sdh ngga premium lagi,pas saya tanya ke diana mlh muter2 jwban ny,pdhl saldo ada di akun,transaksi jg sering,ini gmna ini min",sengaja kasih bintang biar bacatolong bngt inimah pdhl sblmnya saya premium skrng ngga premium lagipas saya tanya diana muter2 jwban nypdhl saldo akuntransaksi seringini gmna
"aplikasi idiot mau buka akun sendri enggak bisa di blokir pas ad uangnya apk dajal, dompet digital cacat",aplikasi idiot buka akun sendri enggak bisa blokir uangnya dajal dompet digital cacat
