Review text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
baguss bangetzzzzzzzzz,baguss bangetzzzzzzzzz,bagus bangetzzzzzzzzz,"['bagus', 'bangetzzzzzzzzz']","['bagus', 'bangetzzzzzzzzz']",bagus bangetzzzzzzzzz
baik pelayan nan enya aman kalo transaksi ke mn aja,baik pelayan enya aman kalo transaksi,baik pelayan enya aman kalau transaksi,"['baik', 'pelayan', 'enya', 'aman', 'kalau', 'transaksi']","['pelayan', 'enya', 'aman', 'transaksi']",layan enya aman transaksi
bagus,bagus,bagus,['bagus'],['bagus'],bagus
scan barcode terlalu bermasalah gagal teknis Mulu payah,scan barcode terlalu bermasalah gagal teknis mulu payah,scan barcode terlalu bermasalah gagal teknis mulu payah,"['scan', 'barcode', 'terlalu', 'bermasalah', 'gagal', 'teknis', 'mulu', 'payah']","['scan', 'barcode', 'bermasalah', 'gagal', 'teknis', 'mulu', 'payah']",scan barcode masalah gagal teknis mulu payah
ini kok ga g ada konfir masi apa apa jol di potong hedeuh jadi kapok nyimpen uang banyak bahaya nanti ilang lag,konfir masi potong hedeuh jadi kapok nyimpen uang banyak bahaya nanti ilang,konfir masih potong hedeuh jadi kapok menyimpan uang banyak bahaya nanti hilang,"['konfir', 'masih', 'potong', 'hedeuh', 'jadi', 'kapok', 'menyimpan', 'uang', 'banyak', 'bahaya', 'nanti', 'hilang']","['konfir', 'potong', 'hedeuh', 'kapok', 'menyimpan', 'uang', 'bahaya', 'hilang']",konfir potong hedeuh kapok simpan uang bahaya hilang
sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['bagus'],bagus
"susah amat verifikasinya, udah puluhan kali coba , gagal terus, padahal udha top up , mau TF langsung malah ga bisa",susah amat verifikasinya udah puluhan kali coba gagal terus padahal udha langsung malah bisa,susah amat verifikasinya sudah puluhan kali coba gagal terus padahal udha langsung malah bisa,"['susah', 'amat', 'verifikasinya', 'sudah', 'puluhan', 'kali', 'coba', 'gagal', 'terus', 'padahal', 'udha', 'langsung', 'malah', 'bisa']","['susah', 'verifikasinya', 'puluhan', 'kali', 'coba', 'gagal', 'udha', 'langsung']",susah verifikasi puluh kali coba gagal udha langsung
nice apk,nice,nice,['nice'],['nice'],nice
i like,like,like,['like'],['like'],like
suka nih,suka,suka,['suka'],['suka'],suka
