full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data,label
@CakKhum Satu lagi mentri laknatullah alaih... Urusan BBM etanol korupsi tambang pertamina semuanya bersumber dari orang ini...,cakkhum satu lagi mentri laknatullah alaih urusan etanol korupsi tambang pertamina semuanya bersumber dari orang,cakkhum satu lagi mentri laknatullah alaih urusan etanol korupsi tambang pertamina semuanya bersumber dari orang,"['cakkhum', 'satu', 'lagi', 'mentri', 'laknatullah', 'alaih', 'urusan', 'etanol', 'korupsi', 'tambang', 'pertamina', 'semuanya', 'bersumber', 'dari', 'orang']","['cakkhum', 'mentri', 'laknatullah', 'alaih', 'urusan', 'etanol', 'korupsi', 'tambang', 'pertamina', 'bersumber', 'orang']",cakkhum tri laknatullah alaih urus etanol korupsi tambang pertamina sumber orang,negative
@hanyarbabini @anunemouse @jimans_ yakin pertamina hanya 10 persen etanol ?,hanyarbabini anunemouse jimans yakin pertamina hanya persen etanol,hanyarbabini anunemouse jimans yakin pertamina hanya persen etanol,"['hanyarbabini', 'anunemouse', 'jimans', 'yakin', 'pertamina', 'hanya', 'persen', 'etanol']","['hanyarbabini', 'anunemouse', 'jimans', 'pertamina', 'persen', 'etanol']",hanyarbabini anunemouse jimans pertamina persen etanol,neutral
Udah di oplos Ada etanol Harga naik Dan pertamina tetap rugi Benar benar luar angkasa bobroknya,udah oplos etanol harga naik pertamina tetap rugi benar benar luar angkasa bobroknya,sudah oplos etanol harga naik pertamina tetap rugi benar benar luar angkasa bobroknya,"['sudah', 'oplos', 'etanol', 'harga', 'naik', 'pertamina', 'tetap', 'rugi', 'benar', 'benar', 'luar', 'angkasa', 'bobroknya']","['oplos', 'etanol', 'harga', 'pertamina', 'rugi', 'angkasa', 'bobroknya']",oplos etanol harga pertamina rugi angkasa bobrok,negative
@susno2g @Danantara_ri @riekediahp @pertamina @KementerianESDM @tribunnews @mohmahfudmd @KompasTV @Metro_TV @KPK_RI Ubah sampah jadi etanol TPA2 harus didaur ulang,susnog danantarari riekediahp pertamina kementerianesdm tribunnews mohmahfudmd kompastv metrotv kpkri ubah sampah jadi etanol tpa harus didaur ulang,susnog danantarari riekediahp pertamina kementerianesdm tribunnews mohmahfudmd kompastv metrotv kpkri ubah sampah jadi etanol tpa harus didaur ulang,"['susnog', 'danantarari', 'riekediahp', 'pertamina', 'kementerianesdm', 'tribunnews', 'mohmahfudmd', 'kompastv', 'metrotv', 'kpkri', 'ubah', 'sampah', 'jadi', 'etanol', 'tpa', 'harus', 'didaur', 'ulang']","['susnog', 'danantarari', 'riekediahp', 'pertamina', 'kementerianesdm', 'tribunnews', 'mohmahfudmd', 'kompastv', 'metrotv', 'kpkri', 'ubah', 'sampah', 'etanol', 'tpa', 'didaur', 'ulang']",susnog danantarari riekediahp pertamina kementerianesdm tribunnews mohmahfudmd kompastv metrotv kpkri ubah sampah etanol tpa daur ulang,
Tertibkan dong @pertamina jangan rusuh etanol aja,tertibkan dong pertamina jangan rusuh etanol,tertibkan dong pertamina jangan rusuh etanol,"['tertibkan', 'dong', 'pertamina', 'jangan', 'rusuh', 'etanol']","['tertibkan', 'pertamina', 'rusuh', 'etanol']",tertib pertamina rusuh etanol,negative
Rieke Diah Pitaloka mengkritik impor etanol oleh Pertamina. Jika produksi nasional mampu memasok mengapa tidak dimanfaatkan? #dprri #pdiperjuangan #fraksipdiperjuangan https://t.co/32ro5iujzM,rieke diah pitaloka mengkritik impor etanol oleh pertamina jika produksi nasional mampu memasok mengapa tidak dimanfaatkan dprri pdiperjuangan fraksipdiperjuangan tcoroiujzm,rieke diah pitaloka mengkritik impor etanol oleh pertamina jika produksi nasional mampu memasok mengapa tidak dimanfaatkan dprri pdiperjuangan fraksipdiperjuangan tcoroiujzm,"['rieke', 'diah', 'pitaloka', 'mengkritik', 'impor', 'etanol', 'oleh', 'pertamina', 'jika', 'produksi', 'nasional', 'mampu', 'memasok', 'mengapa', 'tidak', 'dimanfaatkan', 'dprri', 'pdiperjuangan', 'fraksipdiperjuangan', 'tcoroiujzm']","['rieke', 'diah', 'pitaloka', 'mengkritik', 'impor', 'etanol', 'pertamina', 'produksi', 'nasional', 'memasok', 'dimanfaatkan', 'dprri', 'pdiperjuangan', 'fraksipdiperjuangan', 'tcoroiujzm']",rieke diah pitaloka kritik impor etanol pertamina produksi nasional pasok manfaat dprri pdiperjuangan fraksipdiperjuangan tcoroiujzm,neutral
@Jul3Prikitiw huh. gua. feromonnya. Pertamina. Etanol. Ron. 98. mau. adu?,julprikitiw feromonnya pertamina etanol,julprikitiw feromonnya pertamina etanol,"['julprikitiw', 'feromonnya', 'pertamina', 'etanol']","['julprikitiw', 'feromonnya', 'pertamina', 'etanol']",julprikitiw feromon pertamina etanol,
Pertamina Bidik Peluang dari Etanol: 70 Persen Lebih Murah dari Bensin https://t.co/0IMC8y4uU9,pertamina bidik peluang dari etanol persen lebih murah dari bensin tcoimcyuu,pertamina bidik peluang dari etanol persen lebih murah dari bensin tcoimcyuu,"['pertamina', 'bidik', 'peluang', 'dari', 'etanol', 'persen', 'lebih', 'murah', 'dari', 'bensin', 'tcoimcyuu']","['pertamina', 'bidik', 'peluang', 'etanol', 'persen', 'murah', 'bensin', 'tcoimcyuu']",pertamina bidik peluang etanol persen murah bensin tcoimcyuu,
@susno2g @Kemenperin_RI @kementan @KementerianESDM @pertamina @BobibosBBN @Danantara_ri @detikcom @KompasTV @tempodotco BBM Nabati etanol gak memungkinkan digunakan murni (100%) BBM Nabati bisa digunakan murni sudah masuk kategori butanol / pentanol. Produksi butanol / pentanol masih sangat langka dan mahal.,susnog kemenperinri kementan kementerianesdm pertamina bobibosbbn danantarari detikcom kompastv tempodotco nabati etanol memungkinkan digunakan murni nabati bisa digunakan murni sudah masuk kategori butanol pentanol produksi butanol pentanol masih sangat langka mahal,susnog kemenperinri kementan kementerianesdm pertamina bobibosbbn danantarari detikcom kompastv tempodotco nabati etanol memungkinkan digunakan murni nabati bisa digunakan murni sudah masuk kategori butanol pentanol produksi butanol pentanol masih sangat langka mahal,"['susnog', 'kemenperinri', 'kementan', 'kementerianesdm', 'pertamina', 'bobibosbbn', 'danantarari', 'detikcom', 'kompastv', 'tempodotco', 'nabati', 'etanol', 'memungkinkan', 'digunakan', 'murni', 'nabati', 'bisa', 'digunakan', 'murni', 'sudah', 'masuk', 'kategori', 'butanol', 'pentanol', 'produksi', 'butanol', 'pentanol', 'masih', 'sangat', 'langka', 'mahal']","['susnog', 'kemenperinri', 'kementan', 'kementerianesdm', 'pertamina', 'bobibosbbn', 'danantarari', 'detikcom', 'kompastv', 'tempodotco', 'nabati', 'etanol', 'murni', 'nabati', 'murni', 'masuk', 'kategori', 'butanol', 'pentanol', 'produksi', 'butanol', 'pentanol', 'langka', 'mahal']",susnog kemenperinri tan kementerianesdm pertamina bobibosbbn danantarari detikcom kompastv tempodotco nabati etanol murni nabati murni masuk kategori butanol pentanol produksi butanol pentanol langka mahal,
Rieke Diah Pitaloka mempertanyakan kesiapan Pertamina menyerap etanol lokal. Jangan sampai produksi jalan tapi serapan nol impor malah tetap tinggi #dprri #pdiperjuangan #fraksipdiperjuangan https://t.co/wX2fmR2lhk,rieke diah pitaloka mempertanyakan kesiapan pertamina menyerap etanol lokal jangan sampai produksi jalan tapi serapan impor malah tetap tinggi dprri pdiperjuangan fraksipdiperjuangan tcowxfmrlhk,rieke diah pitaloka mempertanyakan kesiapan pertamina menyerap etanol lokal jangan sampai produksi jalan tapi serapan impor malah tetap tinggi dprri pdiperjuangan fraksipdiperjuangan tcowxfmrlhk,"['rieke', 'diah', 'pitaloka', 'mempertanyakan', 'kesiapan', 'pertamina', 'menyerap', 'etanol', 'lokal', 'jangan', 'sampai', 'produksi', 'jalan', 'tapi', 'serapan', 'impor', 'malah', 'tetap', 'tinggi', 'dprri', 'pdiperjuangan', 'fraksipdiperjuangan', 'tcowxfmrlhk']","['rieke', 'diah', 'pitaloka', 'kesiapan', 'pertamina', 'menyerap', 'etanol', 'lokal', 'produksi', 'jalan', 'serapan', 'impor', 'dprri', 'pdiperjuangan', 'fraksipdiperjuangan', 'tcowxfmrlhk']",rieke diah pitaloka kesiap pertamina serap etanol lokal produksi jalan serap impor dprri pdiperjuangan fraksipdiperjuangan tcowxfmrlhk,negative
Top!!! Pertamina bidik peluang dari Etanol 70% lebih murah dari bensin minyak. #Pertamina #Etanol #BahanBakar #RamahLingkungan https://t.co/H7iOQohPHJ,pertamina bidik peluang dari etanol lebih murah dari bensin minyak pertamina etanol bahanbakar ramahlingkungan tcohioqohphj,pertamina bidik peluang dari etanol lebih murah dari bensin minyak pertamina etanol bahanbakar ramahlingkungan tcohioqohphj,"['pertamina', 'bidik', 'peluang', 'dari', 'etanol', 'lebih', 'murah', 'dari', 'bensin', 'minyak', 'pertamina', 'etanol', 'bahanbakar', 'ramahlingkungan', 'tcohioqohphj']","['pertamina', 'bidik', 'peluang', 'etanol', 'murah', 'bensin', 'minyak', 'pertamina', 'etanol', 'bahanbakar', 'ramahlingkungan', 'tcohioqohphj']",pertamina bidik peluang etanol murah bensin minyak pertamina etanol bahanbakar ramahlingkungan tcohioqohphj,positive
Pertamina Bidik Peluang dari Etanol: 70 Persen Lebih Murah dari Bensin https://t.co/CpTTk41Ebo yuk disimak pemgalaman Brasil yg sukses dgn etanol sbg BBM,pertamina bidik peluang dari etanol persen lebih murah dari bensin tcocpttkebo disimak pemgalaman brasil sukses etanol,pertamina bidik peluang dari etanol persen lebih murah dari bensin tcocpttkebo disimak pemgalaman brasil sukses etanol,"['pertamina', 'bidik', 'peluang', 'dari', 'etanol', 'persen', 'lebih', 'murah', 'dari', 'bensin', 'tcocpttkebo', 'disimak', 'pemgalaman', 'brasil', 'sukses', 'etanol']","['pertamina', 'bidik', 'peluang', 'etanol', 'persen', 'murah', 'bensin', 'tcocpttkebo', 'disimak', 'pemgalaman', 'brasil', 'sukses', 'etanol']",pertamina bidik peluang etanol persen murah bensin tcocpttkebo simak pemgalaman brasil sukses etanol,positive
