full_text,teks_bersih,label,steming_data
@CakKhum Satu lagi mentri laknatullah alaih... Urusan BBM etanol korupsi tambang pertamina semuanya bersumber dari orang ini...,CakKhum Satu lagi mentri laknatullah alaih Urusan etanol korupsi tambang pertamina semuanya bersumber dari orang,negative,
Udah di oplos Ada etanol Harga naik Dan pertamina tetap rugi Benar benar luar angkasa bobroknya,Udah oplos etanol Harga naik pertamina tetap rugi Benar benar luar angkasa bobroknya,negative,
Tertibkan dong @pertamina jangan rusuh etanol aja,Tertibkan dong pertamina jangan rusuh etanol,negative,
Rieke Diah Pitaloka mempertanyakan kesiapan Pertamina menyerap etanol lokal. Jangan sampai produksi jalan tapi serapan nol impor malah tetap tinggi #dprri #pdiperjuangan #fraksipdiperjuangan https://t.co/wX2fmR2lhk,Rieke Diah Pitaloka mempertanyakan kesiapan Pertamina menyerap etanol lokal Jangan sampai produksi jalan tapi serapan impor malah tetap tinggi dprri pdiperjuangan fraksipdiperjuangan httpstcowX2fmR2lhk,negative,
@susno2g @pertamina @Kemenperin_RI @KementerianESDM @Danantara_ri @KompasTV @tribunnews @tvOneNews yg jd masalah itu etanol/alkohol pak.. byk kendaraan tidak cocok u/ etanol.. etanol itu bahan dasarnya air.. air itu menyebabkan karat (apalg kadarnya tdk mendekati 100%) karet alami tdk tahan dg etanol tkg reparasi elektronik paham etanol meninggalkan bercak putih dll..,susno2g pertamina Kemenperin_RI KementerianESDM Danantara_ri KompasTV tribunnews tvOneNews masalah etanolalkohol kendaraan tidak cocok etanol etanol bahan dasarnya menyebabkan karat apalg kadarnya mendekati karet alami tahan etanol reparasi elektronik paham etanol meninggalkan bercak putih,negative,
@susno2g @pertamina @KementerianESDM @Danantara_ri @Kemenperin_RI @kementan @tvOneNews @KompasTV &amp; rawan pengoplosan dg air.. bikin mubil/montror brebet.. bengsin campur etanol aja mrk udah berani ngoplos dg air pak.. spt pidiyo cak ji jatim.. https://t.co/UNDMhNmYNt,susno2g pertamina KementerianESDM Danantara_ri Kemenperin_RI kementan tvOneNews KompasTV rawan pengoplosan bikin mubilmontror brebet bengsin campur etanol udah berani ngoplos pidiyo jatim httpstcoUNDMhNmYNt,negative,
@SnaiperMask Maksudnya yang sekarang itu soal BBM Etanol padahal Pertamina masih jelek tingkat kepercayaan publiknya dan Kewajiban Harus Beli BBM Mentah bagi BBM Swasta yang malah mematikan bisnis BBM Swasta dan Monopoli Pertamina.,SnaiperMask Maksudnya yang sekarang soal Etanol padahal Pertamina masih jelek tingkat kepercayaan publiknya Kewajiban Harus Beli Mentah bagi Swasta yang malah mematikan bisnis Swasta Monopoli Pertamina,negative,
Pertamina kontol motor gue kecampur etanol bangsat cukimay. Lama-lama nih motor gw isi bimoli aja.,Pertamina kontol motor kecampur etanol bangsat cukimay Lamalama motor bimoli,negative,
 nek cangkeme sampeyan gak brebet aku melok nggo sepedaku tak isi etanol @bahlillahadalia #pertamina #etanol #bahlil https://t.co/H3tI2JwzBo,cangkeme sampeyan brebet melok nggo sepedaku etanol bahlillahadalia pertamina etanol bahlil httpstcoH3tI2JwzBo,negative,
Jadi gimana ini keberlanjutannya pertamina?? Masih ada etanol nya nggak? Pusing bangett mau isi pake BP tapi sering banget habiss.. mau di isi pake pertamina udah trauma sepeda mogok kek kemarin. Udah di servis masa isi pertamina lagi? Gimana niihh:((( #pertamina #solusi,Jadi gimana keberlanjutannya pertamina Masih etanol nggak Pusing bangett pake tapi sering banget habiss pake pertamina udah trauma sepeda mogok kemarin Udah servis masa pertamina lagi Gimana niihh pertamina solusi,negative,
@Syifaaaaaa9_ Pertamina pgen pegang kendali monopoli import minyak swasta.. jadi biar dia satu² importir.. jelek nya lagi BBM Pertamina di oplos Etanol.. dan itu di protes pihak SPBU swasta.. krna swasta import BBM Murni tanpa campuran Etanol.. etanol bisa menurunkan kinerja mesin.,Syifaaaaaa9_ Pertamina pgen pegang kendali monopoli import minyak swasta jadi biar satu² importir jelek lagi Pertamina oplos Etanol protes pihak SPBU swasta krna swasta import Murni tanpa campuran Etanol etanol bisa menurunkan kinerja mesin,negative,
@AntzBrutallica @GNFI Justru harus peduli wak menyangkut permesinan lho wkwkwk Pertamina 10% etanol aja kalian protes masa yg begini malah abai Standar ganda And this statement come from me as pembenci pemangku kebijakan yg tiap hari selalu ngasih kabar jelek.,AntzBrutallica GNFI Justru harus peduli menyangkut permesinan wkwkwk Pertamina etanol kalian protes masa begini malah abai Standar ganda this statement come from pembenci pemangku kebijakan tiap hari selalu ngasih kabar jelek,negative,
@e100ss Apakah kalian sudah melakukan riset dan uji kelayakan soal bbm campur etanol? @pertamina @pertamina135 tp alhamdulillah BP makin rame rela antri drpd beli bensin di Pertamina ,e100ss Apakah kalian sudah melakukan riset kelayakan soal campur etanol pertamina pertamina135 alhamdulillah makin rame rela antri drpd beli bensin Pertamina,negative,
