steming_data,label
jakut gerak cepat merespon celaka lintas jalan sudarso pintu pertamina tugas tolong bidai evakuasi korban rsud koja tangan tcowkydqbyf,positif
ndasmu uncali mercon busi wing ganti busi pancet jancok ganti pempers fuel pump pancet sing ojok nggae etanol bangsat pertamina,positif
dutgendutt info korban selamat ungsi kampung pertamina,positif
puskepi apresiasi pertamina sigap distribusi energi wilayah bencana sumatera tcouwjnjijsnf,positif
jimans ngisi pertamina,positif
viral eksperimen pertalite campur etanol pertamina tcongebgdfh,positif
ngotot nyampurin etanol resin infrastruktur pertamina kayak maksa orang minum obat cacing demam salah sasar salah timing solusi bukti bijak indonesia lahir nalar tcotndtmxt,positif
sojifanangin langka kabupaten karo sebab banjir barubaru medan ganggu distribusi pertamina cuaca ekstrem gelombang hambat kirim tanker dampak antre spbu kabanjahe berastagi,positif
butuh kapal pertamina timbang bank mandiri kredit usaha anak riza chalid tcowgexzzcm,positif
humorjontampan pertamina mypertaminaid gegara etanol usaha minyak tolol,positif
txtdrimedia pertamina kejar untung rugi masyarakat kendara rusak etanol anggota wakil rakyat wakil oligarki bangsat,positif
hadap tantang distribusi wilayah bencana kesiap pertamina ragu tcohhtfswyaws,positif
feriakbar naik minyak dunia pertamina naikinnya minyak dunia turun mendelay turun harga tcoksztzybsz,positif
snaipermask maksud etanol pertamina jelek tingkat percaya publik wajib beli mentah swasta mati bisnis swasta monopoli pertamina,positif
malas benerin kualitas base fuel otak atik etanol sulfur ente tinggi pertamina,positif
tolak etanol pertamina tolakbbmetanolpertamina pecatbahlil,positif
jemmymultazam txtdrimedia alam aneh turut etanol pakai swasta awet banding pertamina,positif
bismillah komisaris pertamina,positif
partaisocmed wkwk pertamina pakai etanol motor vario suka brebet pakai full pertamax servis injeksi nyepong bahlil benernya riset dalem murni yaudah apresiasi,positif
masyarakat bangka belitung khawatir pertamina patra niaga pasti stok nataru aman butuh masyarakat pertamina bangkabelitung tcohfutacwjs,positif
dirut pertamina patra niaga kunjung kerja dampak banjir medan tcoyisxjshll,positif
kangmanto stok wilayah sumatra kilang kurang distribusi masyarakat hambat stok pertamina distribusi masyarakat beda,positif
garda depan aman operasional kilang pertamina plaju tingkat skill bina karakter personel security tcooojlfbt rakyatpembaruancom,positif
moga etanol antri etanol mantaf pertamina bahlilhantuterorbbm tcorafccipcm,positif
sukses bawa jakarta pertamina enduro juara proliga enduro outside hitter russia yana shcherban tahan gelar juara proliga proliga tconlrtjnuts,positif
antoniuscdn prabowo cakkhum paltihutabarat paltiwest arypraske anakogi pakarintelek etanol jual pertamina biar untung,positif
bengkeldodo nakula florieliciouss kimberleyps irawanrommi propaganda pertamina manfaat,positif
masmasbiassaa kelixmann didepancangkir wizcayn mobil tari boyo sahabat pertamina,positif
