full_text,teks_bersih,label
Top!!! Pertamina bidik peluang dari Etanol 70% lebih murah dari bensin minyak. #Pertamina #Etanol #BahanBakar #RamahLingkungan https://t.co/H7iOQohPHJ,Pertamina bidik peluang dari Etanol lebih murah dari bensin minyak Pertamina Etanol BahanBakar RamahLingkungan httpstcoH7iOQohPHJ,positive
Pertamina Bidik Peluang dari Etanol: 70 Persen Lebih Murah dari Bensin https://t.co/CpTTk41Ebo yuk disimak pemgalaman Brasil yg sukses dgn etanol sbg BBM,Pertamina Bidik Peluang dari Etanol Persen Lebih Murah dari Bensin httpstcoCpTTk41Ebo disimak pemgalaman Brasil sukses etanol,positive
ga ada apa-apanya sih sama feromon gua etanol pertamina RON 98. yeah.,apaapanya sama feromon etanol pertamina yeah,positive
@Informnts Good kasih dia BBM oplosan full etanol @pertamina,Informnts Good kasih oplosan full etanol pertamina,positive
haha. siapa kemarin bilang gua omega? gua sub? sorry. pheromone etanol pertamina RON 98 ga bisa berbohong. https://t.co/iIcS6FkuAD,haha siapa kemarin bilang omega sorry pheromone etanol pertamina bisa berbohong httpstcoiIcS6FkuAD,positive
BBM Pertamina dengan Etanol Makin Laris Ini Buktinya https://t.co/0VQ5EsyROa,Pertamina dengan Etanol Makin Laris Buktinya httpstco0VQ5EsyROa,positive
Seluruh BBM Petralite Pertamina dipastikan tidak dicampur dengan etanol. Pertamina pastikan seluruh BBM yang terdistribusi sesuai regulasi pemerintah ️ #Pertamina #BangkaBelitung prioritaskan kebutuhan rakyat #GalaxyA56 #Fyp https://t.co/G9eqvtd5ff,Seluruh Petralite Pertamina dipastikan tidak dicampur dengan etanol Pertamina pastikan seluruh yang terdistribusi sesuai regulasi pemerintah Pertamina BangkaBelitung prioritaskan kebutuhan rakyat GalaxyA56 httpstcoG9eqvtd5ff,positive
PT Pertamina (Persero) disebut masih menggunakan etanol impor dalam produksi Pertamax Green 95 karena bioetanol lokal dinilai belum memenuhi standar mutu dan masih lebih mahal. Hal ini diungkap oleh Direktur Eksekutif Puskep UI Ali. Simak selengkapnya: https://t.co/J4quQaDeUm https://t.co/rW0QQ9MmWs,Pertamina Persero disebut masih menggunakan etanol impor dalam produksi Pertamax Green karena bioetanol lokal dinilai belum memenuhi standar mutu masih lebih mahal diungkap oleh Direktur Eksekutif Puskep Simak selengkapnya httpstcoJ4quQaDeUm httpstcorW0QQ9MmWs,positive
Apakah fenomena motor brebet di Surabaya ini akibat ETANOL? Entahlah bukan kapasitas kami. Tp kami yakin banyak orang pinter di @pertamina yg bisa segera atasi masalah ini. Kami masih percaya engineer di @pertamina hebat² dan bisa mengatasi masalah ini,Apakah fenomena motor brebet Surabaya akibat ETANOL Entahlah bukan kapasitas kami kami yakin banyak orang pinter pertamina bisa segera atasi masalah Kami masih percaya engineer pertamina hebat² bisa mengatasi masalah,positive
@gagitugie___ @grok Betul memang belum rata distribusinya Bahkan di Surabaya hanya bbrp spbu saja yg punya dan di 1 spbu hanya 1-2 nozzle saja Yg kumaksud tuh kalaupun etanol emg seberbahaya itu bakalan menyebabkan ini itu pasti gaakan dirilis ke publik Dari pertamina pasti sdh ada kajiannya,gagitugie___ grok Betul memang belum rata distribusinya Bahkan Surabaya hanya bbrp spbu saja punya spbu hanya nozzle saja kumaksud kalaupun etanol seberbahaya bakalan menyebabkan pasti gaakan dirilis publik Dari pertamina pasti kajiannya,positive
Anggota Komisi VII DPR RI @eddy_soeparno memastikan BBM bercampur etanol aman digunakan publik. Ia tegaskan: tidak ada kandungan tersembunyi dalam Pertamax Green. Pertamina transparan. Campurannya 5% bioetanol. #EnergiHijau #Bioetanol #Pertamina https://t.co/ksOjVmyMst,Anggota Komisi eddy_soeparno memastikan bercampur etanol aman digunakan publik tegaskan tidak kandungan tersembunyi dalam Pertamax Green Pertamina transparan Campurannya bioetanol EnergiHijau Bioetanol Pertamina httpstcoksOjVmyMst,positive
Kalau lihat video Wawali Sby saat sidak ada yg mengeluh Pertalite-nya bau alkohol malah ada yg menduga ada kandungan etanol. So fixed bukan AIR. @its_campus @ZaRa647507 @BPKN_RI Pertamina Cek 300 SPBU di Jatim Usai BBM Diduga Tercampur Air Ini Hasilnya https://t.co/NYC7UXNT1r,Kalau lihat video Wawali saat sidak mengeluh Pertalitenya alkohol malah menduga kandungan etanol fixed bukan its_campus ZaRa647507 BPKN_RI Pertamina SPBU Jatim Usai Diduga Tercampur Hasilnya httpstcoNYC7UXNT1r,positive
