steming_data,score,label
jumat des wib samudera hindia nias selatan guncang gempa episenter laut arah barat daya nias selatan dalam gempa pusat front megathrust kuat rentan picu tsunami eq,12,positive
megathrust jawa selatan,0,neutral
tepat desember pesisir aceh sapu gelombang tsunami dahsyat pasca gempa megathrust kuat magnitudo dasar samudera hindia korban tinggal dunia ribu jiwa hilang,6,positive
potensi megathrust geger potensi badai geger potensi resesi geger potensi unprofitable gudang areng mingkem,15,positive
rawan hadap ancam bencana megathrust jawa bojonegoro ketua palang merah indonesia pmi jawa timur imam utomo imbau masyarakat peristiwa bencanaalam bojonegoro via,-7,negative
negara ring of fire lempeng sesar patah aktif wajar gempa gunung rap tsunami ancam gempa intai bangsa indonesia megathrust ancam tragedi kuat moga mitigasi bencana bagus,-4,negative
waspada potensi tsunami meter selatan jawa tsunami aceh bukti gempa megathrust,7,positive
desember tsunami terjang aceh gelombang tsunami pasca gempa magnitudo peristiwa buka mata potensi bencana indonesia videoberita adadikompas tsunami,2,positive
gempa megathrust laut sebab reta patah lempeng burma lempeng hindia efek gempa hasil energi kali bom atom hiroshima,20,positive
gempa bumi megathrust laut lempeng hindia dorong lempeng burma picu rangkai tsunami mati pesisir darat batas samudra hindia,2,positive
siklus gempa bumi megathrust selatan jawa amp sumatera fakta tvone,1,positive
geger surat edar potensi megathrust tsunami camat labu bmkg buka suara,14,positive
geger surat edar potensi megathrust tsunami camat labu bmkg buka suara,14,positive
bencana binasa orang dosa percaya tuhan yesus,-1,negative
geger surat edar potensi megathrust tsunami camat labu bmkg buka suara,14,positive
buntut isu potensi megathrust kelola wisata pandeglang wisatawan kabur,1,positive
tsunami selatan jawa akibat megatrust bmkg tsunami megathrust gempa trending,5,positive
kait potensi megathrust tsunami warga labu gentar waspada,8,positive
gempa megathrust tsunami percaya hard gumay dokter tifa jelas bmkg percaya dokter tifa iron dome,9,positive
lupa garis pantai meulaboh maju arah darat pasca tsunami naik muka tanah meulaboh siklus tektonik regional nek bahasa jawanya gempa megathrust kuwi mergo lempeng benuane njepat,2,positive
tsunami selatan jawa akibat megathrust catat sejarah manasajakah,1,positive
asumsi edar ledak jam megathrust pesawat ledak dynamite proyek jjls gunungkidul gunung letus njajal aji,-12,negative
gempa bumi kini sr kuningan,7,positive
iron dome vs gempa megathrust opo hubung e,5,positive
camat please bikin panik,-7,negative
gempa bumi kini sr kuningan pusat gempa barusan megathrust selatan jawa,14,positive
stres tifu nih bahasa sok sangar iron dome megathrust halaahh gedabrus,-8,negative
dokter stres ajak pakai iron dome halau potensi gempa megathrust dokter tifa presiden,7,positive
bayang zona megathrust pantai selatan sumatra jawa bal ntb ntt tiwikrama bangun tidur panjang tsunami aceh geliat jakarta hancur perintah lumpuh koran tempo majalah tempo gunawan mohamad,7,positive
iman bumau canggih apa hancur bencana tuhan orang dosa orang percaya tuhan yesus lindung,3,positive
barang mewah berijasah mesti waahh,-3,negative
anggap benar makna alam semesta musibah ijin kuasa milik alam semesta,10,positive
bahaya gempa bumi sebab sesar megathrust jelas,3,positive
bmkg wilayah indonesia milik potensi gempa bumi megathrust timbul ancam tsunami meter tim pusat studi gempa nasional wilayah indonesia keliling zona megathrust megathrust gempabumi,8,positive
sesar baribis sebab gempa megathrust ramal jayabaya,5,positive
megathrust kawanbrin yuk simak jelas riset brin kait megathrust unggah megathrust gempabumi tsunami bencanaalam,9,positive
kait gempa cianjur gempa megathrust isu pancing resah potensi timbul bencana indonesia,-2,negative
pulau jawa belah isi ramal jayabaya gempa megathrust guncang,-4,negative
gempa megathrust siklus prediksi indonesia milik alat,8,positive
oke tulis tepat zona megathrust zona hasil gempa tempat jakarta zona megathrust aktivitas seismik region,6,positive
tumbu lempeng darat himalaya contoh gempa nepal megathrust,5,positive
cuplik berita sumber gempamegathrustterletak laut sumber gempa sesar aktif letak darat kota tinggal,3,positive
cuplik berita daryono buku pusat studi gempa nasional pusgen sumber gempa segmen megathrust segmen segmen sesar aktif milik indonesia sesar aktif,16,positive
tanda daerah daerah megathrust gampang gempa tanda aktif lempeng bawah bawah tanah jakarta aktifitas seismik,6,positive
kemarin ngeberitain bmkg jepang kait meru ngeberitain jakarta potensi gempa megathrust anak magang kali ya buat,10,positive
megathrust sumbar gempa tumbu lempeng lokasi laut sesar rekah lempengkerak bumi geser sesar baribis bangkit megathrust jakarta megathrust jakarta,7,positive
kasang ngeri kilas lihat berita info tntng megathrust,-8,negative
sesar baribis sesar aktif wilayah utara jawa barat potensi timbul gempa megathrust,6,positive
potensi gempa megathrust ampamp tsunami besar versi artificial intelligence percaya,13,positive
hoax real mitigasi bencana megathrust,-8,negative
weeee cepat berita benar ya benar hoax bukti berita bukti the real dunia nyata pengin lihat we hoax bilang megathrust,-3,negative
tsunami meter akibat gempa megathrust kirakira air duren selatan jaksel sisa meter ya,4,positive
tahan capai titik jenuh energi simpan lepas akibat getar kuat gempa bumi megathrust,8,positive
lempeng temu lempeng samudera menghujam bentuk bidang kontak lempeng samudera bidang megathrust bidang megathrust akumulasi energi puluh ratus,11,positive
dorong gerak sesar timbul gempa tsunami megathrust bidang gempa letak temu lempeng samudera indoaustralia lempeng benua eurasia,7,positive
jalur ring of fire indonesia wilayah rentan alami gempa bumi sama indonesia keliling zona megathrust megathrust asal mega thrust dorong,-4,negative
gempa widjo masyarakat waspada ancam gampa bumi megathrust potensi sebab tsunami lantas megathrust,9,positive
