full_text,teks_bersih
Jumat 30 Des. 2022 pukul 06.26.49 WIB Samudera Hindia Nias Selatan diguncang gempa M5 2. Episenter di laut 108 Km arah Barat Daya Nias Selatan dgn kedalaman 12 km. Gempa berpusat di front megathrust spt ini jika kekuatannya besar rentan memicu tsunami eq. https://t.co/5TzGhoHCik,Jumat 2022 pukul 062649 Samudera Hindia Nias Selatan diguncang gempa Episenter laut arah Barat Daya Nias Selatan kedalaman Gempa berpusat front megathrust jika kekuatannya besar rentan memicu tsunami httpstco5TzGhoHCik
https://t.co/sZelhi3tX9 Megathrust Jawa Selatan,httpstcosZelhi3tX9 Megathrust Jawa Selatan
18 tahun lalu Tepatnya pada 26 Desember 2004 pesisir Aceh disapu gelombang tsunami dahsyat pasca gempa megathrust berkekuatan magnitudo 9 3 yang terjadi di dasar Samudera Hindia. Korban meninggal dunia 230-280 ribu jiwa dan lainnya hilang. https://t.co/yqXM8hDEDY,tahun lalu Tepatnya pada Desember 2004 pesisir Aceh disapu gelombang tsunami dahsyat pasca gempa megathrust berkekuatan magnitudo yang terjadi dasar Samudera Hindia Korban meninggal dunia 230280 ribu jiwa lainnya hilang httpstcoyqXM8hDEDY
Ada potensi megathrust M9 geger Ada potensi badai geger Ada potensi resesi geger Ada potensi unprofitable gudang areng mingkem.,potensi megathrust geger potensi badai geger potensi resesi geger potensi unprofitable gudang areng mingkem
Relawan Diminta Siap Hadapi Ancaman Bencana Megathrust di Jawa. Bojonegoro (https://t.co/ksziGGp1k3) Ketua Palang Merah Indonesia (PMI) Jawa Timur Imam Utomo mengimbau kepada seluruh masyarakat https://t.co/yYetSNUa3Y #Peristiwa #bencanaalam #Bojonegoro via @beritajatimcom,Relawan Diminta Siap Hadapi Ancaman Bencana Megathrust Jawa Bojonegoro httpstcoksziGGp1k3 Ketua Palang Merah Indonesia Jawa Timur Imam Utomo mengimbau kepada seluruh masyarakat httpstcoyYetSNUa3Y Peristiwa bencanaalam Bojonegoro beritajatimcom
Sebagai negara Ring of Fire dan dilalui lempeng2 sesar patahan aktif wajar terjadi gempa gunung berapi dan tsunami. Ancaman gempa selalu mengintai setiap saat bangsa Indonesia. Megathrust juga jadi ancaman. Tragedi ini menguatkan diri semoga mitigasi bencana semakin bagus.,Sebagai negara Ring Fire dilalui lempeng2 sesar patahan aktif wajar terjadi gempa gunung berapi tsunami Ancaman gempa selalu mengintai setiap saat bangsa Indonesia Megathrust juga jadi ancaman Tragedi menguatkan diri semoga mitigasi bencana semakin bagus
Waspada! Potensi Tsunami 20 Meter di Selatan Jawa Tsunami Aceh 2004 Bukti Adanya Gempa Megathrust? https://t.co/gWwotLR5Pt,Waspada Potensi Tsunami Meter Selatan Jawa Tsunami Aceh 2004 Bukti Adanya Gempa Megathrust httpstcogWwotLR5Pt
Pada 26 Desember 2004 tsunami menerjang Aceh. Gelombang tsunami pasca gempa magnitudo 9 1. Peristiwa ini membuka mata kita akan potensi bencana yang bisa terjadi di Indonesia kapan saja. #VideoBerita #AdadiKompas #Tsunami2004 https://t.co/X8rQDlss8F,Pada Desember 2004 tsunami menerjang Aceh Gelombang tsunami pasca gempa magnitudo Peristiwa membuka mata kita akan potensi bencana yang bisa terjadi Indonesia kapan saja VideoBerita AdadiKompas Tsunami2004 httpstcoX8rQDlss8F
Gempa megathrust bawah laut ini disebabkan oleh retakan sepanjang patahan antara Lempeng Burma dan Lempeng Hindia. Efek gempa tersebut menghasilkan energi sebesar 1.500x lebih besar dari pada bom atom Hiroshima. (2),Gempa megathrust bawah laut disebabkan oleh retakan sepanjang patahan antara Lempeng Burma Lempeng Hindia Efek gempa tersebut menghasilkan energi sebesar 1500x lebih besar dari pada atom Hiroshima
2. Gempa bumi megathrust bawah laut terjadi ketika Lempeng Hindia didorong ke bawah oleh Lempeng Burma dan memicu serangkaian tsunami mematikan di sepanjang pesisir daratan yang berbatasan dengan Samudra Hindia.,Gempa bumi megathrust bawah laut terjadi ketika Lempeng Hindia didorong bawah oleh Lempeng Burma memicu serangkaian tsunami mematikan sepanjang pesisir daratan yang berbatasan dengan Samudra Hindia
