full_text,clean_text,normalisasi_text,tokenize,stopword_removal,steming_data
Jumat 30 Des. 2022 pukul 06.26.49 WIB Samudera Hindia Nias Selatan diguncang gempa M5 2. Episenter di laut 108 Km arah Barat Daya Nias Selatan dgn kedalaman 12 km. Gempa berpusat di front megathrust spt ini jika kekuatannya besar rentan memicu tsunami eq. https://t.co/5TzGhoHCik,jumat  pukul  samudera hindia nias selatan diguncang gempa episenter laut arah barat daya nias selatan kedalaman gempa berpusat front megathrust jika kekuatannya besar rentan memicu tsunami tcotzghohcik,jumat pukul samudera hindia nias selatan diguncang gempa episenter laut arah barat daya nias selatan kedalaman gempa berpusat front megathrust jika kekuatannya besar rentan memicu tsunami tcotzghohcik,"['jumat', 'pukul', 'samudera', 'hindia', 'nias', 'selatan', 'diguncang', 'gempa', 'episenter', 'laut', 'arah', 'barat', 'daya', 'nias', 'selatan', 'kedalaman', 'gempa', 'berpusat', 'front', 'megathrust', 'jika', 'kekuatannya', 'besar', 'rentan', 'memicu', 'tsunami', 'tcotzghohcik']","['jumat', 'samudera', 'hindia', 'nias', 'selatan', 'diguncang', 'gempa', 'episenter', 'laut', 'arah', 'barat', 'daya', 'nias', 'selatan', 'kedalaman', 'gempa', 'berpusat', 'front', 'megathrust', 'kekuatannya', 'rentan', 'memicu', 'tsunami', 'tcotzghohcik']",jumat samudera hindia nias selatan guncang gempa episenter laut arah barat daya nias selatan dalam gempa pusat front megathrust kuat rentan picu tsunami tcotzghohcik
https://t.co/sZelhi3tX9 Megathrust Jawa Selatan,tcoszelhitx megathrust jawa selatan,tcoszelhitx megathrust jawa selatan,"['tcoszelhitx', 'megathrust', 'jawa', 'selatan']","['tcoszelhitx', 'megathrust', 'jawa', 'selatan']",tcoszelhitx megathrust jawa selatan
18 tahun lalu Tepatnya pada 26 Desember 2004 pesisir Aceh disapu gelombang tsunami dahsyat pasca gempa megathrust berkekuatan magnitudo 9 3 yang terjadi di dasar Samudera Hindia. Korban meninggal dunia 230-280 ribu jiwa dan lainnya hilang. https://t.co/yqXM8hDEDY,tahun lalu tepatnya pada desember  pesisir aceh disapu gelombang tsunami dahsyat pasca gempa megathrust berkekuatan magnitudo yang terjadi dasar samudera hindia korban meninggal dunia  ribu jiwa lainnya hilang tcoyqxmhdedy,tahun lalu tepatnya pada desember pesisir aceh disapu gelombang tsunami dahsyat pasca gempa megathrust berkekuatan magnitudo yang terjadi dasar samudera hindia korban meninggal dunia ribu jiwa lainnya hilang tcoyqxmhdedy,"['tahun', 'lalu', 'tepatnya', 'pada', 'desember', 'pesisir', 'aceh', 'disapu', 'gelombang', 'tsunami', 'dahsyat', 'pasca', 'gempa', 'megathrust', 'berkekuatan', 'magnitudo', 'yang', 'terjadi', 'dasar', 'samudera', 'hindia', 'korban', 'meninggal', 'dunia', 'ribu', 'jiwa', 'lainnya', 'hilang', 'tcoyqxmhdedy']","['tepatnya', 'desember', 'pesisir', 'aceh', 'disapu', 'gelombang', 'tsunami', 'dahsyat', 'pasca', 'gempa', 'megathrust', 'berkekuatan', 'magnitudo', 'dasar', 'samudera', 'hindia', 'korban', 'meninggal', 'dunia', 'ribu', 'jiwa', 'hilang', 'tcoyqxmhdedy']",tepat desember pesisir aceh sapu gelombang tsunami dahsyat pasca gempa megathrust kuat magnitudo dasar samudera hindia korban tinggal dunia ribu jiwa hilang tcoyqxmhdedy
Ada potensi megathrust M9 geger Ada potensi badai geger Ada potensi resesi geger Ada potensi unprofitable gudang areng mingkem.,potensi megathrust geger potensi badai geger potensi resesi geger potensi unprofitable gudang areng mingkem,potensi megathrust geger potensi badai geger potensi resesi geger potensi unprofitable gudang areng mingkem,"['potensi', 'megathrust', 'geger', 'potensi', 'badai', 'geger', 'potensi', 'resesi', 'geger', 'potensi', 'unprofitable', 'gudang', 'areng', 'mingkem']","['potensi', 'megathrust', 'geger', 'potensi', 'badai', 'geger', 'potensi', 'resesi', 'geger', 'potensi', 'unprofitable', 'gudang', 'areng', 'mingkem']",potensi megathrust geger potensi badai geger potensi resesi geger potensi unprofitable gudang areng mingkem
Relawan Diminta Siap Hadapi Ancaman Bencana Megathrust di Jawa. Bojonegoro (https://t.co/ksziGGp1k3) Ketua Palang Merah Indonesia (PMI) Jawa Timur Imam Utomo mengimbau kepada seluruh masyarakat https://t.co/yYetSNUa3Y #Peristiwa #bencanaalam #Bojonegoro via @beritajatimcom,relawan diminta siap hadapi ancaman bencana megathrust jawa bojonegoro tcoksziggpk ketua palang merah indonesia jawa timur imam utomo mengimbau kepada seluruh masyarakat tcoyyetsnuay peristiwa bencanaalam bojonegoro beritajatimcom,relawan diminta siap hadapi ancaman bencana megathrust jawa bojonegoro tcoksziggpk ketua palang merah indonesia jawa timur imam utomo mengimbau kepada seluruh masyarakat tcoyyetsnuay peristiwa bencanaalam bojonegoro beritajatimcom,"['relawan', 'diminta', 'siap', 'hadapi', 'ancaman', 'bencana', 'megathrust', 'jawa', 'bojonegoro', 'tcoksziggpk', 'ketua', 'palang', 'merah', 'indonesia', 'jawa', 'timur', 'imam', 'utomo', 'mengimbau', 'kepada', 'seluruh', 'masyarakat', 'tcoyyetsnuay', 'peristiwa', 'bencanaalam', 'bojonegoro', 'beritajatimcom']","['relawan', 'hadapi', 'ancaman', 'bencana', 'megathrust', 'jawa', 'bojonegoro', 'tcoksziggpk', 'ketua', 'palang', 'merah', 'indonesia', 'jawa', 'timur', 'imam', 'utomo', 'mengimbau', 'masyarakat', 'tcoyyetsnuay', 'peristiwa', 'bencanaalam', 'bojonegoro', 'beritajatimcom']",rawan hadap ancam bencana megathrust jawa bojonegoro tcoksziggpk ketua palang merah indonesia jawa timur imam utomo imbau masyarakat tcoyyetsnuay peristiwa bencanaalam bojonegoro beritajatimcom
Sebagai negara Ring of Fire dan dilalui lempeng2 sesar patahan aktif wajar terjadi gempa gunung berapi dan tsunami. Ancaman gempa selalu mengintai setiap saat bangsa Indonesia. Megathrust juga jadi ancaman. Tragedi ini menguatkan diri semoga mitigasi bencana semakin bagus.,sebagai negara ring fire dilalui lempeng sesar patahan aktif wajar terjadi gempa gunung berapi tsunami ancaman gempa selalu mengintai setiap saat bangsa indonesia megathrust juga jadi ancaman tragedi menguatkan diri semoga mitigasi bencana semakin bagus,sebagai negara ring fire dilalui lempeng sesar patahan aktif wajar terjadi gempa gunung berapi tsunami ancaman gempa selalu mengintai setiap saat bangsa indonesia megathrust juga jadi ancaman tragedi menguatkan diri semoga mitigasi bencana semakin bagus,"['sebagai', 'negara', 'ring', 'fire', 'dilalui', 'lempeng', 'sesar', 'patahan', 'aktif', 'wajar', 'terjadi', 'gempa', 'gunung', 'berapi', 'tsunami', 'ancaman', 'gempa', 'selalu', 'mengintai', 'setiap', 'saat', 'bangsa', 'indonesia', 'megathrust', 'juga', 'jadi', 'ancaman', 'tragedi', 'menguatkan', 'diri', 'semoga', 'mitigasi', 'bencana', 'semakin', 'bagus']","['negara', 'ring', 'fire', 'lempeng', 'sesar', 'patahan', 'aktif', 'wajar', 'gempa', 'gunung', 'berapi', 'tsunami', 'ancaman', 'gempa', 'mengintai', 'bangsa', 'indonesia', 'megathrust', 'ancaman', 'tragedi', 'menguatkan', 'semoga', 'mitigasi', 'bencana', 'bagus']",negara ring fire lempeng sesar patah aktif wajar gempa gunung rap tsunami ancam gempa intai bangsa indonesia megathrust ancam tragedi kuat moga mitigasi bencana bagus
Waspada! Potensi Tsunami 20 Meter di Selatan Jawa Tsunami Aceh 2004 Bukti Adanya Gempa Megathrust? https://t.co/gWwotLR5Pt,waspada potensi tsunami meter selatan jawa tsunami aceh  bukti adanya gempa megathrust tcogwwotlrpt,waspada potensi tsunami meter selatan jawa tsunami aceh bukti adanya gempa megathrust tcogwwotlrpt,"['waspada', 'potensi', 'tsunami', 'meter', 'selatan', 'jawa', 'tsunami', 'aceh', 'bukti', 'adanya', 'gempa', 'megathrust', 'tcogwwotlrpt']","['waspada', 'potensi', 'tsunami', 'meter', 'selatan', 'jawa', 'tsunami', 'aceh', 'bukti', 'gempa', 'megathrust', 'tcogwwotlrpt']",waspada potensi tsunami meter selatan jawa tsunami aceh bukti gempa megathrust tcogwwotlrpt
Pada 26 Desember 2004 tsunami menerjang Aceh. Gelombang tsunami pasca gempa magnitudo 9 1. Peristiwa ini membuka mata kita akan potensi bencana yang bisa terjadi di Indonesia kapan saja. #VideoBerita #AdadiKompas #Tsunami2004 https://t.co/X8rQDlss8F,pada desember  tsunami menerjang aceh gelombang tsunami pasca gempa magnitudo peristiwa membuka mata kita akan potensi bencana yang bisa terjadi indonesia kapan saja videoberita adadikompas tsunami tcoxrqdlssf,pada desember tsunami menerjang aceh gelombang tsunami pasca gempa magnitudo peristiwa membuka mata kita akan potensi bencana yang bisa terjadi indonesia kapan saja videoberita adadikompas tsunami tcoxrqdlssf,"['pada', 'desember', 'tsunami', 'menerjang', 'aceh', 'gelombang', 'tsunami', 'pasca', 'gempa', 'magnitudo', 'peristiwa', 'membuka', 'mata', 'kita', 'akan', 'potensi', 'bencana', 'yang', 'bisa', 'terjadi', 'indonesia', 'kapan', 'saja', 'videoberita', 'adadikompas', 'tsunami', 'tcoxrqdlssf']","['desember', 'tsunami', 'menerjang', 'aceh', 'gelombang', 'tsunami', 'pasca', 'gempa', 'magnitudo', 'peristiwa', 'membuka', 'mata', 'potensi', 'bencana', 'indonesia', 'videoberita', 'adadikompas', 'tsunami', 'tcoxrqdlssf']",desember tsunami terjang aceh gelombang tsunami pasca gempa magnitudo peristiwa buka mata potensi bencana indonesia videoberita adadikompas tsunami tcoxrqdlssf
Gempa megathrust bawah laut ini disebabkan oleh retakan sepanjang patahan antara Lempeng Burma dan Lempeng Hindia. Efek gempa tersebut menghasilkan energi sebesar 1.500x lebih besar dari pada bom atom Hiroshima. (2),gempa megathrust bawah laut disebabkan oleh retakan sepanjang patahan antara lempeng burma lempeng hindia efek gempa tersebut menghasilkan energi sebesar x lebih besar dari pada atom hiroshima,gempa megathrust bawah laut disebabkan oleh retakan sepanjang patahan antara lempeng burma lempeng hindia efek gempa tersebut menghasilkan energi sebesar kali lebih besar dari pada atom hiroshima,"['gempa', 'megathrust', 'bawah', 'laut', 'disebabkan', 'oleh', 'retakan', 'sepanjang', 'patahan', 'antara', 'lempeng', 'burma', 'lempeng', 'hindia', 'efek', 'gempa', 'tersebut', 'menghasilkan', 'energi', 'sebesar', 'kali', 'lebih', 'besar', 'dari', 'pada', 'atom', 'hiroshima']","['gempa', 'megathrust', 'laut', 'disebabkan', 'retakan', 'patahan', 'lempeng', 'burma', 'lempeng', 'hindia', 'efek', 'gempa', 'menghasilkan', 'energi', 'kali', 'atom', 'hiroshima']",gempa megathrust laut sebab reta patah lempeng burma lempeng hindia efek gempa hasil energi kali atom hiroshima
2. Gempa bumi megathrust bawah laut terjadi ketika Lempeng Hindia didorong ke bawah oleh Lempeng Burma dan memicu serangkaian tsunami mematikan di sepanjang pesisir daratan yang berbatasan dengan Samudra Hindia.,gempa bumi megathrust bawah laut terjadi ketika lempeng hindia didorong bawah oleh lempeng burma memicu serangkaian tsunami mematikan sepanjang pesisir daratan yang berbatasan dengan samudra hindia,gempa bumi megathrust bawah laut terjadi ketika lempeng hindia didorong bawah oleh lempeng burma memicu serangkaian tsunami mematikan sepanjang pesisir daratan yang berbatasan dengan samudra hindia,"['gempa', 'bumi', 'megathrust', 'bawah', 'laut', 'terjadi', 'ketika', 'lempeng', 'hindia', 'didorong', 'bawah', 'oleh', 'lempeng', 'burma', 'memicu', 'serangkaian', 'tsunami', 'mematikan', 'sepanjang', 'pesisir', 'daratan', 'yang', 'berbatasan', 'dengan', 'samudra', 'hindia']","['gempa', 'bumi', 'megathrust', 'laut', 'lempeng', 'hindia', 'didorong', 'lempeng', 'burma', 'memicu', 'serangkaian', 'tsunami', 'mematikan', 'pesisir', 'daratan', 'berbatasan', 'samudra', 'hindia']",gempa bumi megathrust laut lempeng hindia dorong lempeng burma picu rangkai tsunami mati pesisir darat batas samudra hindia
