conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1608617673969274887,Fri Dec 30 00:15:14 +0000 2022,238,Jumat 30 Des. 2022 pukul 06.26.49 WIB Samudera Hindia Nias Selatan diguncang gempa M5 2. Episenter di laut 108 Km arah Barat Daya Nias Selatan dgn kedalaman 12 km. Gempa berpusat di front megathrust spt ini jika kekuatannya besar rentan memicu tsunami eq. https://t.co/5TzGhoHCik,1608617673969274887,https://pbs.twimg.com/media/FlL0kW2aUAE9cwg.jpg,,in,,2,5,75,https://x.com/undefined/status/1608617673969274887,195642037,
1608333385096888320,Thu Dec 29 05:25:35 +0000 2022,1,https://t.co/sZelhi3tX9 Megathrust Jawa Selatan,1608333385096888320,,,in,,0,0,1,https://x.com/undefined/status/1608333385096888320,2889526784,
1608117866410414081,Wed Dec 28 15:09:11 +0000 2022,0,18 tahun lalu Tepatnya pada 26 Desember 2004 pesisir Aceh disapu gelombang tsunami dahsyat pasca gempa megathrust berkekuatan magnitudo 9 3 yang terjadi di dasar Samudera Hindia. Korban meninggal dunia 230-280 ribu jiwa dan lainnya hilang. https://t.co/yqXM8hDEDY,1608117866410414081,https://pbs.twimg.com/media/FlEurS_aYAAKjOb.jpg,,in,,0,1,0,https://x.com/undefined/status/1608117866410414081,2883691224,
1608086577812770818,Wed Dec 28 13:04:51 +0000 2022,0,Ada potensi megathrust M9 geger Ada potensi badai geger Ada potensi resesi geger Ada potensi unprofitable gudang areng mingkem.,1608086577812770818,,,in,,0,1,0,https://x.com/undefined/status/1608086577812770818,1311183942037327872,
1608059834762670081,Wed Dec 28 11:18:35 +0000 2022,0,Relawan Diminta Siap Hadapi Ancaman Bencana Megathrust di Jawa. Bojonegoro (https://t.co/ksziGGp1k3) Ketua Palang Merah Indonesia (PMI) Jawa Timur Imam Utomo mengimbau kepada seluruh masyarakat https://t.co/yYetSNUa3Y #Peristiwa #bencanaalam #Bojonegoro via @beritajatimcom,1608059834762670081,,,in,,0,0,0,https://x.com/undefined/status/1608059834762670081,21287066,
1607683088318091264,Tue Dec 27 10:21:32 +0000 2022,3,Sebagai negara Ring of Fire dan dilalui lempeng2 sesar patahan aktif wajar terjadi gempa gunung berapi dan tsunami. Ancaman gempa selalu mengintai setiap saat bangsa Indonesia. Megathrust juga jadi ancaman. Tragedi ini menguatkan diri semoga mitigasi bencana semakin bagus.,1607683088318091264,,,in,,0,0,0,https://x.com/undefined/status/1607683088318091264,1485528214051377153,
1607358260117671936,Mon Dec 26 12:50:47 +0000 2022,0,Waspada! Potensi Tsunami 20 Meter di Selatan Jawa Tsunami Aceh 2004 Bukti Adanya Gempa Megathrust? https://t.co/gWwotLR5Pt,1607358260117671936,,,in,,0,0,0,https://x.com/undefined/status/1607358260117671936,1480821602765791232,
1607307004355416064,Mon Dec 26 09:29:39 +0000 2022,2,Pada 26 Desember 2004 tsunami menerjang Aceh. Gelombang tsunami pasca gempa magnitudo 9 1. Peristiwa ini membuka mata kita akan potensi bencana yang bisa terjadi di Indonesia kapan saja. #VideoBerita #AdadiKompas #Tsunami2004 https://t.co/X8rQDlss8F,1607307644011958275,,KompasData,in,,0,1,0,https://x.com/undefined/status/1607307644011958275,771030588,
1607300172257849347,Mon Dec 26 08:59:58 +0000 2022,2,Gempa megathrust bawah laut ini disebabkan oleh retakan sepanjang patahan antara Lempeng Burma dan Lempeng Hindia. Efek gempa tersebut menghasilkan energi sebesar 1.500x lebih besar dari pada bom atom Hiroshima. (2),1607300175651012609,,MightyWar3,in,,0,1,0,https://x.com/undefined/status/1607300175651012609,1272173161405018112,
1607285845224218624,Mon Dec 26 08:14:36 +0000 2022,6,2. Gempa bumi megathrust bawah laut terjadi ketika Lempeng Hindia didorong ke bawah oleh Lempeng Burma dan memicu serangkaian tsunami mematikan di sepanjang pesisir daratan yang berbatasan dengan Samudra Hindia.,1607288756826144769,,AlphaARachman,in,,0,1,1,https://x.com/undefined/status/1607288756826144769,118469158,
